cement,Flyash ,Slag ,Water ,Superplasticizer ,Coarseagg,Fineagg,CuringDays,Porosity,Strength,Total_cost
350,140,0,134.75,0,1183.5,591.75,28,12.8,50.53,8578.9
350,0,0,157.5,0,1261.666667,630.8333333,28,11.8,47.62,6841.888889
350,35,0,157.5,0,1238.333333,619.1666667,28,12.3,46.25,7326.444444
350,70,0,157.5,0,1215,607.5,28,12.5,35.24,7811
350,105,0,157.5,0,1191.666667,595.8333333,28,13,34.12,8295.555556
350,140,0,157.5,0,1168.333333,584.1666667,28,13.3,32.03,8780.111111
350,0,0,175,0,1250,625,28,12.8,26.01,6996.666667
350,35,0,175,0,1226.666667,613.3333333,28,13,18.23,7481.222222
350,70,0,175,0,1203.333333,601.6666667,28,13.5,19.94,7965.777778
350,105,0,175,0,1180,590,28,14,17.54,8450.333333
350,140,0,175,0,1156.666667,578.3333333,28,14.4,14.84,8934.888889
350,0,0,192.5,0,1238.333333,619.1666667,28,13.8,58.17,7151.444444
350,35,0,192.5,0,1215,607.5,28,14,60.74,7636
350,70,0,192.5,0,1191.666667,595.8333333,28,14.4,55.32,8120.555556
350,105,0,192.5,0,1168.333333,584.1666667,28,15,59.77,8605.111111
350,140,0,192.5,0,1145,572.5,28,15.3,41.03,9089.666667
350,0,0,122.5,0,1285,642.5,90,10,43.24,6532.333333
350,35,0,122.5,0,1261.666667,630.8333333,90,9.2,47.94,7016.888889
350,70,0,122.5,0,1238.333333,619.1666667,90,8.7,43.6,7501.444444
350,105,0,122.5,0,1215,607.5,90,9,24.59,7986
350,140,0,122.5,0,1191.666667,595.8333333,90,9.8,24.49,8470.555556
350,0,0,134.75,0,1276.833333,638.4166667,90,10.3,25.61,6640.677778
350,35,0,134.75,0,1253.5,626.75,90,9.9,26.09,7125.233333
350,70,0,134.75,0,1230.166667,615.0833333,90,9.3,61.62,7609.788889
350,105,0,134.75,0,1206.833333,603.4166667,90,9.6,66.7,8094.344444
350,140,0,134.75,0,1183.5,591.75,90,10.5,65.01,8578.9
350,0,0,157.5,0,1261.666667,630.8333333,90,10.9,63.76,6841.888889
350,35,0,157.5,0,1238.333333,619.1666667,90,10.7,45.84,7326.444444
350,70,0,157.5,0,1215,607.5,90,10.1,47.27,7811
350,105,0,157.5,0,1191.666667,595.8333333,90,10.5,49.05,8295.555556
350,140,0,157.5,0,1168.333333,584.1666667,90,11.2,48.48,8780.111111
350,0,0,175,0,1250,625,90,11.5,25.31,6996.666667
350,35,0,175,0,1226.666667,613.3333333,90,11.3,28.09,7481.222222
350,70,0,175,0,1203.333333,601.6666667,90,10.9,28.25,7965.777778
350,105,0,175,0,1180,590,90,11.3,31.2,8450.333333
350,140,0,175,0,1156.666667,578.3333333,90,11.9,39.1,8934.888889
350,0,0,192.5,0,1238.333333,619.1666667,90,12.6,42.1,7151.444444
350,35,0,192.5,0,1215,607.5,90,12.3,42.3,7636
350,70,0,192.5,0,1191.666667,595.8333333,90,12.1,27.6,8120.555556
350,105,0,192.5,0,1168.333333,584.1666667,90,12.4,32.7,8605.111111
350,140,0,192.5,0,1145,572.5,90,13,34.4,9089.666667
350,0,0,122.5,0,1285,642.5,180,9.4,42.1,6532.333333
350,35,0,122.5,0,1261.666667,630.8333333,180,8.3,48.5,7016.888889
350,70,0,122.5,0,1238.333333,619.1666667,180,7.5,50.5,7501.444444
350,105,0,122.5,0,1215,607.5,180,7.9,37.1,7986
350,140,0,122.5,0,1191.666667,595.8333333,180,8.7,44,8470.555556
350,0,0,134.75,0,1276.833333,638.4166667,180,9.8,46.2,6640.677778
350,35,0,134.75,0,1253.5,626.75,180,8.9,37.3,7125.233333
350,70,0,134.75,0,1230.166667,615.0833333,180,8.1,43.2,7609.788889
350,105,0,134.75,0,1206.833333,603.4166667,180,8.5,43.8,8094.344444
350,140,0,134.75,0,1183.5,591.75,180,9.4,28.7234,8578.9
350,0,0,157.5,0,1261.666667,630.8333333,180,10.5,18.883,6841.888889
350,35,0,157.5,0,1238.333333,619.1666667,180,9.6,16.7553,7326.444444
350,70,0,157.5,0,1215,607.5,180,8.9,24.4681,7811
350,105,0,157.5,0,1191.666667,595.8333333,180,9.2,11.7021,8295.555556
350,140,0,157.5,0,1168.333333,584.1666667,180,10,10.9043,8780.111111
350,0,0,175,0,1250,625,180,11,39.3617,6996.666667
350,35,0,175,0,1226.666667,613.3333333,180,10.5,21.5426,7481.222222
350,70,0,175,0,1203.333333,601.6666667,180,9.9,19.9468,7965.777778
350,105,0,175,0,1180,590,180,10.3,31.6489,8450.333333
350,140,0,175,0,1156.666667,578.3333333,180,10.8,16.4894,8934.888889
350,0,0,192.5,0,1238.333333,619.1666667,180,12,15.9574,7151.444444
350,35,0,192.5,0,1215,607.5,180,11.4,48.6702,7636
350,70,0,192.5,0,1191.666667,595.8333333,180,10.8,25.266,8120.555556
350,105,0,192.5,0,1168.333333,584.1666667,180,11.1,23.9362,8605.111111
350,140,0,192.5,0,1145,572.5,180,11.8,35.9043,9089.666667
350,0,0,122.5,0,1285,642.5,365,9.2,19.4149,6532.333333
350,35,0,122.5,0,1261.666667,630.8333333,365,8.1,19.1489,7016.888889
350,70,0,122.5,0,1238.333333,619.1666667,365,7.3,55.3191,7501.444444
350,105,0,122.5,0,1215,607.5,365,7.7,32.9787,7986
350,140,0,122.5,0,1191.666667,595.8333333,365,8.5,31.9149,8470.555556
350,0,0,134.75,0,1276.833333,638.4166667,365,9.6,40.1596,6640.677778
350,35,0,134.75,0,1253.5,626.75,365,8.4,23.9362,7125.233333
350,70,0,134.75,0,1230.166667,615.0833333,365,7.7,23.6702,7609.788889
350,105,0,134.75,0,1206.833333,603.4166667,365,8,56.117,8094.344444
350,140,0,134.75,0,1183.5,591.75,365,8.8,47.3404,8578.9
350,0,0,157.5,0,1261.666667,630.8333333,365,10.1,45.2128,6841.888889
350,35,0,157.5,0,1238.333333,619.1666667,365,9.1,40.4255,7326.444444
350,70,0,157.5,0,1215,607.5,365,8.4,36.4362,7811
